Company,Country of Origin,Model,Number of cc,Horsepower,Torque,Transmission Type,Drivetrain,Number of Seating,Price (in INR),Year,Looks,Body Type,Engine Type,Number of Cylinders
Yamaha,Japan,R1,998,200 hp,112 lb-ft,6-speed manual,Chain drive,1,"20,00,000",2023,"Sporty, aggressive",Sportbike,4-cylinder,4
Yamaha,Japan,MT-09,889,117 hp,69 lb-ft,6-speed manual,Chain drive,1,"8,50,000",2022,"Modern, sporty",Naked,3-cylinder,3
Yamaha,Japan,R3,321,42 hp,29 lb-ft,6-speed manual,Chain drive,1,"5,50,000",2022,"Sporty, beginner-friendly",Sportbike,4-cylinder,4
Yamaha,Japan,FZ-25,249,26 hp,18.6 lb-ft,5-speed manual,Chain drive,1,"3,50,000",2022,"Modern, stylish",Naked,1-cylinder,1
Yamaha,Japan,XSR155,155,18 hp,14.7 lb-ft,5-speed manual,Chain drive,1,"2,00,000",2022,"Classic, vintage",Retro,1-cylinder,1
Beta,Italy,RR 350 2-Stroke,350,40 hp,34 Nm,Six-speed sequential,Chain drive,1,"12,50,000",2023,Classy,Enduro,Two-stroke,Single
Beta,Italy,RR 250 2-Stroke,250,35 hp,27 Nm,Six-speed sequential,Chain drive,1,"11,00,000",2023,Classy,Enduro,Two-stroke,Single
Beta,Italy,RR 125 2-Stroke,125,27 hp,22 Nm,Six-speed sequential,Chain drive,1,"8,00,000",2023,Classy,Enduro,Two-stroke,Single
Beta,Italy,RR 390 4-Stroke,390,45 hp,37 Nm,Six-speed sequential,Chain drive,1,"14,00,000",2023,Classy,Enduro,Four-stroke,Single
Beta,Italy,RR 250 4-Stroke,250,38 hp,28 Nm,Six-speed sequential,Chain drive,1,"12,00,000",2023,Classy,Enduro,Four-stroke,Single
Beta,Italy,RR 125 4-Stroke,125,24 hp,20 Nm,Six-speed sequential,Chain drive,1,"8,50,000",2023,Classy,Enduro,Four-stroke,Single
Beta,Italy,Alp 200,200,25 hp,22 Nm,Five-speed constant mesh,Shaft drive,2,"10,50,000",2023,Adventure,Dual-sport,Four-stroke,Single
Beta,Italy,Alp 125,125,20 hp,18 Nm,Five-speed constant mesh,Shaft drive,2,"8,00,000",2023,Adventure,Dual-sport,Four-stroke,Single
GasGas,Spain,MC 250F,250,37 hp,26 Nm,Six-speed,Chain drive,1,"11,00,000",2023,Modern,Enduro,Four-stroke,Single
GasGas,Spain,MC 350F,350,44 hp,32 Nm,Six-speed,Chain drive,1,"13,00,000",2023,Modern,Enduro,Four-stroke,Single
GasGas,Spain,MC 450F,450,52 hp,42 Nm,Six-speed,Chain drive,1,"14,50,000",2023,Modern,Enduro,Four-stroke,Single
GasGas,Spain,EC 250,250,35 hp,25 Nm,Six-speed,Chain drive,1,"10,50,000",2023,Modern,Motocross,Two-stroke,Single
GasGas,Spain,EC 300,300,40 hp,30 Nm,Six-speed,Chain drive,1,"12,00,000",2023,Modern,Motocross,Two-stroke,Single
GasGas,Spain,EC 250F,250,37 hp,26 Nm,Six-speed,Chain drive,1,"11,50,000",2023,Modern,Enduro,Two-stroke,Single
GasGas,Spain,EC 300F,300,44 hp,32 Nm,Six-speed,Chain drive,1,"13,00,000",2023,Modern,Enduro,Two-stroke,Single
GasGas,Spain,SM 700,693,74 hp,70 Nm,Six-speed,Chain drive,1,"14,50,000",2023,Modern,Supermoto,Single,
Harley-Davidson,United States,LiveWire,1133,105 hp,116 Nm,Direct drive,Permanent magnet synchronous motor,1,"35,00,000",2021,Modern,Cruiser,Electric,Single
Honda,Japan,CT125,124.9,10.2 hp,10.4 Nm,CVT,Shaft drive,1,"1,35,000",2022,Adventure,Trail,Single,One
Honda,Japan,Super Cub,110,8.5 hp,9.5 Nm,CVT,Chain drive,1,"65,000",2023,Classic,Standard,Single,One
Husqvarna,Sweden,Vitpilen 250,248.76,30.84,24,6-speed manual,Chain,1,"2,19,000",2023,Classy,Naked,Single-cylinder,1
Husqvarna,Sweden,Svartpilen 250,248.76,30.84,24,6-speed manual,Chain,1,"2,19,000",2023,Adventure,Naked,Single-cylinder,1
Husqvarna,Sweden,Vitpilen 401,373.2,43.5,37,6-speed manual,Chain,1,"2,80,000",2023,Classy,Naked,Single-cylinder,1
Husqvarna,Sweden,Svartpilen 401,373.2,43.5,37,6-speed manual,Chain,1,"2,90,000",2023,Adventure,Naked,Single-cylinder,1
Husqvarna,Sweden,FE 350,350,39.3,35,6-speed manual,Chain,1,"4,20,000",2023,Motocross,Enduro,Single-cylinder,1
Husqvarna,Sweden,TE 300i,300,44.2,30,6-speed manual,Chain,1,"4,00,000",2023,Enduro,Enduro,Single-cylinder,2
Husqvarna,Sweden,FE 501,501,51.5,48,6-speed manual,Chain,1,"5,50,000",2023,Motocross,Enduro,Single-cylinder,1
Husqvarna,Sweden,TE 501i,501,51.5,48,6-speed manual,Chain,1,"5,30,000",2023,Enduro,Enduro,Single-cylinder,1
KTM,Austria,1290 Super Duke R,"1,301",177,140,6-speed manual,Chain,1,"17,00,000",2023,Aggressive,Naked,V-twin,2
Moto Morini,Italy,Seiemmezzo 6 ½,649,55.7 PS,54 Nm,6-speed manual,Chain,2,6.89 - 7.10 Lakh,2023,Classy,Naked,Parallel-twin,2
Moto Morini,Italy,X-Cape,649,60.8 PS,54 Nm,6-speed manual,Shaft,2,7.20 - 7.50 Lakh,2023,Adventure,Adventure,Parallel-twin,2
Suzuki,Japan,Hayabusa,1340,190 PS @ 9700 rpm,150 Nm @ 7000 rpm,6-speed manual,Chain,2,16.90 Lakh,2023,Classy,Sport,In-line-four,4
Triumph,United Kingdom,Rocket 3,2458,167 PS @ 6000 rpm,221 Nm @ 4000 rpm,6-speed manual,Shaft,2,21.40 Lakh,2023,Classy,Cruiser,In-line-three,3
Yamaha,Japan,MT-10,998,158 bhp,111 Nm,"Constant Mesh, 6-speed",Chain,1,14 lakhs (expected),2023,"Classy, aggressive",Naked streetfighter,"Liquid-cooled, 4-cylinder, DOHC",4
Bajaj,India,Pulsar 125,124.9,12.7 bhp,11 Nm,4-speed constant mesh,Chain,1,"68,000",2023,"Modern, sporty",Street,"Air-cooled, 4-stroke, single-cylinder, DTS-i",1
Bajaj,India,Pulsar 150,149.5,14.5 bhp,13 Nm,5-speed constant mesh,Chain,1,"85,000",2023,"Modern, sporty",Street,"Air-cooled, 4-stroke, single-cylinder, DTS-i",1
Bajaj,India,Pulsar NS200,199.5,24.5 bhp,18.6 Nm,6-speed constant mesh,Chain,1,1.25 lakhs,2023,Sporty,Naked streetfighter,"Liquid-cooled, 4-stroke, single-cylinder, DTS-i",1
Bajaj,India,Dominar 400,373.3,39.4 bhp,35 Nm,6-speed constant mesh,Chain,1,1.99 lakhs,2023,"Bold, aggressive",Street naked,"Liquid-cooled, 4-stroke, single-cylinder, DTS-i",1
Bajaj,India,Avenger 220,220.9,19.05 bhp,17.35 Nm,5-speed constant mesh,Chain,2,1.13 lakhs,2023,"Classic, stylish",Cruiser,"Air-cooled, 4-stroke, single-cylinder, DTS-i",1
Bajaj,India,Platina 110,110,8.6 bhp,9.8 Nm,4-speed constant mesh,Chain,1,"62,000",2023,"Simple, reliable",commuter,"Air-cooled, 4-stroke, single-cylinder, DTS-i",1
Hero,India,Splendor Plus,100,9 bhp,8.9 Nm,4-speed constant mesh,Chain,1,"58,000",2023,"Simple, reliable",commuter,"Air-cooled, 4-stroke, single-cylinder, DTS-i",1
Hero,India,Passion Pro,110,9.1 bhp,9.7 Nm,4-speed constant mesh,Chain,1,"64,000",2023,"Modern, sporty",commuter,"Air-cooled, 4-stroke, single-cylinder, DTS-i",1
Hero,India,XPulse 200,199.6,18.4 bhp,17.1 Nm,5-speed constant mesh,Chain,1,1.15 lakhs,2023,Adventure,Enduro,"Air-cooled, 4-stroke, single-cylinder, BS6",1
Hero,India,XPulse 200T,199.6,18.4 bhp,17.1 Nm,5-speed constant mesh,Chain,1,1.22 lakhs,2023,Adventure,Street,"Air-cooled, 4-stroke, single-cylinder, BS6",1
Hero,India,Glamour 125,124.7,10.7 bhp,10.6 Nm,4-speed constant mesh,Chain,1,"72,000",2023,"Modern, stylish",commuter,"Air-cooled, 4-stroke, single-cylinder, DTS-i",1
Hero,India,HF Deluxe,100,8.3 bhp,8.05 Nm,4-speed constant mesh,Chain,1,"51,000",2023,"Simple, reliable",commuter,"Air-cooled, 4-stroke, single-cylinder, DTS-i",1
Jawa,India,Jawa,293,27.33 PS,27.02 Nm,Manual,Chain Drive,2,1.67 lakhs,2018,Classy,Cruiser,"Single-cylinder, liquid-cooled",1
Jawa,India,Forty Two,293,27.33 PS,27.02 Nm,Manual,Chain Drive,2,1.67 lakhs,2018,Classy,Roadster,"Single-cylinder, liquid-cooled",1
Jawa,India,Perak,334,30.64 PS,32.74 Nm,Manual,Chain Drive,2,2.15 lakhs,2020,Modern,Bobber,"Single-cylinder, liquid-cooled",1
TVS,India,Apache RTR 200 4V,199.5,19.7 PS,16.8 Nm,5-speed,Chain Drive,2,"1,28,000",2018,Sporty,Naked,"Single-cylinder, air-cooled",1
TVS,India,Apache RTR 200 4V FI,199.5,20.2 PS,18.1 Nm,5-speed,Chain Drive,2,"1,34,000",2020,Sporty,Naked,"Single-cylinder, fuel-injected, air-cooled",1
TVS,India,Apache RTR 160 2V,159.7,15.3 PS,13.7 Nm,5-speed,Chain Drive,2,"99,500",2020,Sporty,Naked,"Single-cylinder, air-cooled",1
TVS,India,Ntorq 125,124.8,9.4 PS,10.5 Nm,CVT,Automatic,2,"69,900",2019,Fun,Scooter,"Single-cylinder, air-cooled",1
TVS,India,Jupiter,110,8.3 PS,9.4 Nm,CVT,Automatic,2,"62,275",2022,Practical,Scooter,"Single-cylinder, air-cooled",1
TVS,India,Sport 125,124.8,9.7 PS,10.5 Nm,4-speed,Chain Drive,2,"78,750",2022,Classic,Standard,"Single-cylinder, air-cooled",1
TVS,India,Radeon,124.8,8.7 PS,10 Nm,4-speed,Chain Drive,2,"72,750",2022,Budget,Standard,"Single-cylinder, air-cooled",1
Triton Electric Bikes,China,Artemis,750,500,80 Nm,BAFANG M600 mid-drive motor,Shimano drivetrain,1,"2,50,000",2023,Modern,Mountain bike,Electric,1
Apollo,China,Artemis,250,250,80 Nm,Bafang BBS02 mid-drive motor,Shimano drivetrain,1,"1,50,000",2022,Modern,Hybrid bike,Electric,1
Hero Electric,India,Artemis,250,250,80 Nm,BLDC hub motor,Shimano drivetrain,1,"1,00,000",2021,Classic,Electric scooter,Electric,1
Ampere,India,Artemis,250,250,80 Nm,BLDC hub motor,Shimano drivetrain,1,"80,000",2020,Classic,Electric scooter,Electric,1
Peugeot,France,Django 125,125,"10.2 hp @ 9,000 rpm","10.8 Nm @ 7,000 rpm",Manual,Chain,2,"1,15,000",2023,Classic,Cruiser,Single-cylinder,1
Peugeot,France,Django 300,300,"27 hp @ 8,750 rpm","29 Nm @ 6,500 rpm",Manual,Chain,2,"1,45,000",2023,Modern,Cruiser,Single-cylinder,1
Peugeot,France,Metropolis 400,399,"36 hp @ 7,500 rpm","38 Nm @ 5,750 rpm",Automatic,CVT,3,"2,40,000",2023,Futuristic,Scooter,Single-cylinder,1
Ontrack,India,Brutus Single Speed MTB 29,29,25,25 Nm,Single Speed,Front Suspension,1,"14,250",2023,Rugged,Mountain Bike,2,1
Derbi,Spain,STX 150,150,12.5,12 Nm,5-speed manual,Chain drive,1,"100,000",2023,Sporty,Street Bike,4-stroke,1
Vmoto Soco,China,TC,125,5.0 kW,110 Nm,Automatic,Electric,2,"1,40,000",2023,Retro-modern,Naked,Electric,Single
Vmoto Soco,China,TC Max,125,5.0 kW,110 Nm,Automatic,Electric,2,"1,60,000",2023,Modern,Cafe racer,Electric,Single
Vmoto Soco,China,TS Street Hunter,125,5.0 kW,110 Nm,Automatic,Electric,2,"1,50,000",2023,Modern,Streetfighter,Electric,Single
Vmoto Soco,China,TC Wanderer,125,5.0 kW,110 Nm,Automatic,Electric,2,"1,30,000",2023,Retro-modern,Scrambler,Electric,Single
Italjet,Italy,Dragster 200,200,20.07 PS,17 Nm,Automatic,Single-gear,2,8.29 lakh,2020,Futuristic,Naked,Liquid-cooled,Single
Sherco,France,SE 125 Factory 2T,125cc,15hp,12Nm,Manual,Chain,1,"9,99,990",2023,Sharp,Enduro,2-stroke,Single
Sherco,France,SE 250 Factory 2T,250cc,30hp,22Nm,Manual,Chain,1,"11,69,990",2023,Sharp,Enduro,2-stroke,Single
Sherco,France,SE 300 Factory 2T,300cc,36hp,26Nm,Manual,Chain,1,"13,99,990",2023,Sharp,Enduro,2-stroke,Single
Sherco,France,SEF 250i-S,250cc,31hp,24Nm,Automatic,Chain,1,"11,49,990",2023,Modern,Enduro,4-stroke,Single
Sherco,France,SEF 300i-S,300cc,35hp,27Nm,Automatic,Chain,1,"13,79,990",2023,Modern,Enduro,4-stroke,Single
Victory,United States,Cross Country,106,94 hp,110 ft-lb,Six-speed constant mesh,Belt drive,2,"15,00,000",2017,Modern,Cruiser,V-twin,Two
Victory,United States,Judge,106,94 hp,110 ft-lb,Six-speed constant mesh,Belt drive,2,"14,50,000",2017,Modern,Cruiser,V-twin,Two
Victory,United States,Hammer,1179,104 hp,100 ft-lb,Six-speed constant mesh,Belt drive,2,"17,00,000",2017,Modern,Cruiser,V-twin,Two
Victory,United States,Octane,1179,104 hp,76 ft-lb,Six-speed constant mesh,Belt drive,2,"12,50,000",2017,Modern,Cruiser,V-twin,Two
Victory,United States,Vision,1731,116 hp,120 ft-lb,Six-speed constant mesh,Belt drive,2,"22,00,000",2017,Modern,Touring,V-twin,Three
Hanway,China,Furious 125,125,11 hp,10 Nm,Five-speed constant mesh,Chain drive,2,"1,00,000",2023,Modern,Street,Single,One
Hanway,China,Black Cafe 125,125,11 hp,10 Nm,Five-speed constant mesh,Chain drive,2,"1,05,000",2023,Retro,Cafe racer,Single,One
Hanway,China,Muscle 125,125,11 hp,10 Nm,Five-speed constant mesh,Chain drive,2,"1,10,000",2023,Modern,Cruiser,Single,One
Hanway,China,Scrambler 125,125,11 hp,10 Nm,Five-speed constant mesh,Chain drive,2,"1,15,000",2023,Retro,Scrambler,Single,One
Hanway,China,Raw 125,125,11 hp,10 Nm,Five-speed constant mesh,Chain drive,2,"1,20,000",2023,Modern,Naked,Single,One
Keeway,Italy,V302C,298,29.9 PS,26.5 Nm,6 Speed Manual,Chain Drive,1,"3,89,000",2023,Cruiser,Retro,"Air-Cooled, Single-Cylinder",Single
Keeway,Italy,Vieste 300,278.2,18.4 bhp,16 Nm,CVT Automatic,Automatic CVT,1,"3,24,992",2023,Modern,Sport,"Liquid-Cooled, Single-Cylinder",Single
Keeway,Italy,K-Light 250V,249,18.4 bhp,17 Nm,6 Speed Manual,Chain Drive,1,"3,19,983",2023,Modern,Sports Naked,"Air-Cooled, Single-Cylinder",Single
Keeway,Italy,K300 R,292.4,27.1 bhp,22 Nm,6 Speed Manual,Chain Drive,1,"2,65,053",2023,Modern,Sports,"Liquid-Cooled, Single-Cylinder",Single
Keeway,Italy,Sixties 300i,278.2,18.4 bhp,16 Nm,CVT Automatic,Automatic CVT,1,"3,29,984",2023,Retro,Cafe Racer,"Liquid-Cooled, Single-Cylinder",Single
Keeway,Italy,SR125,125,9.56 bhp,10.5 Nm,CVT Automatic,Automatic CVT,1,"1,19,999",2023,Modern,Commuter,"Air-Cooled, Single-Cylinder",Single
Jawa,India,Jawa 42,293,27.33 PS,27.02 Nm,6-speed manual,Chain drive,2,"Rs. 1,67,000",2020,Retro,Cruiser,"Single-cylinder, liquid-cooled",1
Jawa,India,Jawa 42 Bobber,293,27.33 PS,27.02 Nm,6-speed manual,Chain drive,2,"Rs. 1,84,000",2020,Retro,Bobber,"Single-cylinder, liquid-cooled",1
Jawa,India,Jawa Perak,334,30.64 PS,32.74 Nm,6-speed manual,Chain drive,2,"Rs. 2,15,000",2021,Modern,Cruiser,"Single-cylinder, liquid-cooled",1
Lexmoto,UK,LXR 125,125,13.6 bhp,11 Nm,6-speed manual,Chain drive,2,"Rs. 1,65,000",2022,Modern,Sports,"Single-cylinder, liquid-cooled",1
Lexmoto,UK,ZSX 125,125,14 bhp,11.5 Nm,6-speed manual,Chain drive,2,"Rs. 1,75,000",2022,Modern,Naked,"Single-cylinder, liquid-cooled",1
Lexmoto,UK,Milano 125,125,9.5 bhp,9 Nm,CVT automatic,Belt drive,2,"Rs. 1,35,000",2022,Retro,Scooter,"Single-cylinder, air-cooled",1
Lexmoto,UK,Vendetta 250,250,21 bhp,18.6 Nm,6-speed manual,Chain drive,2,"Rs. 2,25,000",2022,Modern,Cruiser,"Single-cylinder, liquid-cooled",1
Mash,China,Black Seven 125,125,11 kW,11 Nm,Manual,Chain,2,1.1 Lakhs,2023,Retro,Street,Single-cylinder,1
Mash,China,Two Fifty,250,20 hp,18 Nm,Manual,Chain,2,1.5 Lakhs,2023,Retro,Scrambler,Single-cylinder,1
Mash,China,Dirt Track 125,125,11 kW,11 Nm,Manual,Chain,2,1 Lakhs,2023,Retro,Dirt bike,Single-cylinder,1
Mash,China,Five Hundred,500,35 hp,38 Nm,Manual,Chain,2,2.5 Lakhs,2023,Retro,Cafe racer,Single-cylinder,1
Segway,China,Dirt eBike X260,500,5 kW,184.3 ft-lbs,Automatic,Electric,1,"3,50,000",2023,Modern,Dirt bike,Electric,1
Arcfox,China,Alpha S,1903,67.7 kW,192.3 lb-ft,Automatic,"Dual-motor, all-wheel drive",2,"1,40,000",2023,Futuristic,Sportbike,Electric,2
Hyosung,South Korea,Aquila GV650,647,68 hp,54 lb-ft,6-speed manual,"V-twin, liquid-cooled, 4-stroke",2,"6,50,000",2023,"Modern, aggressive",Cruiser,V-twin,2
Fantic,Italy,Caballero 125,125,15 hp,11 Nm,6-speed manual,Chain drive,1,"1,50,000",2023,"Modern, aggressive",Enduro,Single-cylinder,1
FB Mondial,Italy,HPS 300,249,23.11,22.5 Nm @ 6500 rpm,6-speed manual,Chain drive,1,3.37 lakhs (ex-showroom),2018,"Retro, classic",Scrambler,"Single cylinder, liquid-cooled, 4-stroke, 4-valves, SOHC",1
FB Mondial,Italy,300 SuperSport,300,30.4,24 Nm @ 7500 rpm,6-speed manual,Chain drive,1,4.2 lakhs (ex-showroom),2020,"Modern, sporty",Cafe racer,"Single cylinder, liquid-cooled, 4-stroke, 4-valves, DOHC",1
FB Mondial,Italy,125 SuperSport,125,14.8,11.5 Nm @ 7500 rpm,5-speed manual,Chain drive,1,2.2 lakhs (ex-showroom),2020,"Modern, sporty",Cafe racer,"Single cylinder, air-cooled, 4-stroke, 4-valves, SOHC",1
Zero Motorcycles,USA,Zero S,7.2,74 hp,106 Nm,Automatic,Electric,1,"12,99,500",2023,Naked,Street,Electric,Single
Zero Motorcycles,USA,Zero SR,11.4,92 hp,130 Nm,Automatic,Electric,1,"15,99,500",2023,Naked,Street,Electric,Single
Zero Motorcycles,USA,Zero SR/F,14.4,110 hp,190 Nm,Automatic,Electric,1,"19,99,500",2023,Sport,Street,Electric,Single
Zero Motorcycles,USA,Zero DS,11.4,92 hp,130 Nm,Automatic,Electric,1,"16,99,500",2023,Adventure,Dual-sport,Electric,Single
Zero Motorcycles,USA,Zero FX,7.2,74 hp,106 Nm,Automatic,Electric,1,"13,99,500",2023,Dirt,Off-road,Electric,Single
Larry vs Harry,Denmark,Bullitt,125,11.5 bhp,11 Nm,5-speed manual,Chain,1,"1,45,000",2023,Classic,Cargo,Single,1
Aeon,Japan,Revo 300,292,27.6 hp,22.8 lb-ft,Manual,Chain,2,"1,05,000",2022,Modern,Sport,Single-cylinder,1
Aeon,Japan,Revo 125,124.9,13.2 hp,9.4 lb-ft,Manual,Chain,2,"55,000",2022,Modern,Street,Single-cylinder,1
Aeon,India,Neo 110,110,9 hp,8.5 lb-ft,Manual,Chain,2,"40,000",2022,Retro,Classic,Single-cylinder,1
Aeon,India,Mio 110,110,8.5 hp,8.5 lb-ft,Automatic,CVT,2,"35,000",2022,Modern,Scooter,Single-cylinder,1
Can-Am,Canada,Spyder RT,1330,115,115 lb-ft,6-speed manual,Front wheel drive,2,18.5 lakhs,2023,Modern,Cruiser,Rotax ACE,3
Can-Am,Canada,Ryker,600,50,46 lb-ft,CVT,Front wheel drive,2,13.5 lakhs,2023,Sporty,Roadster,Rotax 600 ACE,3
Can-Am,Canada,F3,990,97,69 lb-ft,6-speed manual,Front wheel drive,2,15 lakhs,2023,Sleek,Cruiser,Rotax 990 ACE,3
Scomadi,Italy,TL125,124.6,9.39,8.3 Nm,CVT,Belt drive,2,"88,000",2023,Retro,Scooter,Single cylinder,1
Scomadi,Italy,Sixty2,279.5,19.5,22 Nm,CVT,Belt drive,2,"1,99,000",2023,Retro,Cafe racer,Single cylinder,1
Scomadi,Italy,TT125,124.6,9.39,8.3 Nm,CVT,Belt drive,2,"88,000",2023,Retro,Scrambler,Single cylinder,1
Genuine Scooters,Taiwan,Buddy 50,49,3.3,3.5,Automatic,CVT,1,"45,000",2023,Retro,Standard,2-stroke,1
Genuine Scooters,Taiwan,Buddy 125,125,9.5,10.2,Automatic,CVT,2,"60,000",2023,Modern,Standard,4-stroke,1
Genuine Scooters,Taiwan,Buddy 170i,170,11.6,12.8,Automatic,CVT,2,"80,000",2023,Modern,Standard,4-stroke,1
Genuine Scooters,Taiwan,Buddy KICK,125,10.5,11.5,Automatic,CVT,2,"70,000",2023,Modern,Standard,4-stroke,1
Genuine Scooters,Taiwan,Hooligan 170i,170,14.5,15.5,Automatic,CVT,2,"90,000",2023,Retro,Standard,4-stroke,1
Genuine Scooters,Taiwan,Roughhouse 50,50,3.5,3.8,Automatic,CVT,1,"35,000",2023,Retro,Standard,2-stroke,1
Genuine Scooters,Taiwan,Roughhouse 50 SPORT,50,4.5,4.8,Automatic,CVT,1,"40,000",2023,Modern,Standard,2-stroke,1
Genuine Scooters,Taiwan,Rattler 50,50,3.3,3.5,Automatic,CVT,1,"30,000",2023,Retro,Standard,2-stroke,1
Genuine Scooters,Taiwan,Venture 50,50,4.5,4.8,Automatic,CVT,1,"45,000",2023,Modern,Standard,4-stroke,1
UM Motorcycles,China,Renegade Commando,279.5,25.5,23,5-speed,Chain,2,"1,64,000",2023,Retro,Cruiser,"Single-cylinder, liquid-cooled, 4-stroke",1
UM Motorcycles,China,Renegade Sport S,280,26.5,22.5,5-speed,Chain,2,"1,57,000",2023,Modern,Sport,"Single-cylinder, liquid-cooled, 4-stroke",1
UM Motorcycles,China,Renegade Duty S,223,17.5,16.5,5-speed,Chain,2,"1,10,000",2023,Modern,Cruiser,"Single-cylinder, air-cooled, 4-stroke",1
UM Motorcycles,China,Renegade Duty Ace,125,10,9.5,4-speed,Chain,2,"90,000",2023,Modern,Cruiser,"Single-cylinder, air-cooled, 4-stroke",1
UM Motorcycles,China,Renegade Thor,374,35,-,6-speed,Chain,2,"4,90,000",2023,Modern,Cruiser,"V-twin, liquid-cooled, 4-stroke",2
NIU,China,MQi GT,125,11.1,10.5 Nm,CVT,Automatic,2,"1,49,999",2022,Futuristic,Scooter,Electric,Single
NIU,China,NQi GTS,125,9.4,11.8 Nm,CVT,Automatic,2,"1,59,999",2022,Sleek,Scooter,Electric,Single
NIU,China,MQi Plus,125,9.4,11.8 Nm,CVT,Automatic,2,"1,29,999",2022,Stylish,Scooter,Electric,Single
NIU,China,NQi Sport,125,9.4,11.8 Nm,CVT,Automatic,2,"1,44,999",2022,Sporty,Scooter,Electric,Single
NIU,China,BQi-C3 Pro,Electric,500W,40 Nm,Pedal-assist and throttle,Rear wheel,1,"1,29,999",2023,Modern,Bicycle,Electric,Single
Sinnis,UK,Apache 125,125,11.5,10.5 Nm,CVT,Automatic,2,"1,19,999",2023,Modern,Street Bike,Air-Cooled,Single
Sinnis,UK,Meteor 125,125,11.5,10.5 Nm,CVT,Automatic,2,"1,29,999",2023,Classic,Cruiser,Air-Cooled,Single
Sinnis,UK,City 125,125,9.5,9 Nm,CVT,Automatic,2,"99,999",2023,Urban,Scooter,Air-Cooled,Single
Sinnis,UK,Terrain 125,125,11.5,10.5 Nm,CVT,Automatic,2,"1,39,999",2023,Adventure,Trail Bike,Air-Cooled,Single
Sinnis,UK,SM-XE 125,125,15,12 Nm,6-Speed,Chain Drive,2,"1,49,999",2023,Motocross,Street Bike,Air-Cooled,Single
SWM,Italy,Superdual T,600,54.38 PS @ 7500 rpm,53.50 Nm @ 5500 rpm,6-Speed,Chain Drive,2,6.8 Lakh,2023,Modern,Adventure,Liquid-Cooled,Single
SWM,Italy,RS 650,650,55 PS @ 8500 rpm,55 Nm @ 7000 rpm,6-Speed,Chain Drive,2,8.5 Lakh,2023,Modern,Naked,Liquid-Cooled,Single
SWM,Italy,Viale 650,650,55 PS @ 8500 rpm,55 Nm @ 7000 rpm,6-Speed,Chain Drive,2,7.8 Lakh,2023,Classic,Cruiser,Liquid-Cooled,Single
SWM,Italy,RACER 125,125,11.5 PS @ 9000 rpm,10.5 Nm @ 7500 rpm,CVT,Automatic,2,1.2 Lakh,2023,Modern,Street Bike,Air-Cooled,Single
SWM,Italy,GRAN TURISMO 125,125,11.5 PS @ 9000 rpm,10.5 Nm @ 7500 rpm,CVT,Automatic,2,1.3 Lakh,2023,Classic,Cruiser,Air-Cooled,Single
Super Soco,China,TC,125,11.5 kW (15.6 hp),11.5 Nm (8.5 lb-ft),CVT,Automatic,2,1.4 Lakh,2023,Modern,Scooter,Electric,Single
Super Soco,China,TC Max,125,5.0 kW (7.0 hp),11.5 Nm (8.5 lb-ft),CVT,Automatic,2,1.5 Lakh,2023,Modern,Street Bike,Electric,Single
Super Soco,China,TS Street Hunter,125,3.0 kW (4.0 hp),15 Nm (11 lb-ft),CVT,Automatic,2,1.8 Lakh,2023,Modern,Street Bike,Electric,Single
Super Soco,China,CUx,125,3.5 kW (4.7 hp),14 Nm (10.3 lb-ft),CVT,Automatic,2,1.3 Lakh,2023,Retro,Scooter,Electric,Single
Super Soco,China,CPx,125,3.5 kW (4.7 hp),14 Nm (10.3 lb-ft),CVT,Automatic,2,1.4 Lakh,2023,Modern,Scooter,Electric,Single
Royal Alloy,UK,Interceptor 650,649,"47.6 PS @ 7,250 rpm","52 Nm @ 5,250 rpm",6-speed manual,Chain drive,2,4.5 Lakh,2023,Classic,Cruiser,Air-Cooled,Parallel-Twin
Royal Alloy,UK,Himalayan,411,"24.5 PS @ 6,500 rpm","32 Nm @ 4,000 rpm",5-speed manual,Chain drive,2,2.7 Lakh,2023,Adventure,Trail Bike,Air-Cooled,Single
Royal Alloy,UK,Meteor 350,349,"20.2 PS @ 6,000 rpm","27 Nm @ 4,000 rpm",5-speed manual,Chain drive,2,2.1 Lakh,2023,Classic,Cruiser,Air-Cooled,Single
Royal Alloy,UK,CT 125,125,"10.5 PS @ 9,000 rpm","10.5 Nm @ 7,500 rpm",CVT,Automatic,2,1.1 Lakh,2023,Retro,Scooter,Air-Cooled,Single
Royal Alloy,UK,Kent 125,125,"10.5 PS @ 9,000 rpm","10.5 Nm @ 7,500 rpm",CVT,Automatic,2,1 Lakh,2023,Modern,Scooter,Air-Cooled,Single
Benelli,Italy,Imperiale 400,374 cc,21 hp @ 5500 rpm,24.5 Nm @ 3500 rpm,5-speed manual,Chain drive,2,"Rs. 2,34,914",2020,Classic,Cruiser,"Single-cylinder, air-cooled",Single
Benelli,Italy,Leoncino 250,249.2 cc,24.5 hp @ 9000 rpm,21.5 Nm @ 7000 rpm,6-speed manual,Chain drive,2,"Rs. 2,59,900",2020,Modern,Streetfighter,"Single-cylinder, liquid-cooled",Single
Benelli,Italy,TRK 251,250.9 cc,25 hp @ 9000 rpm,21 Nm @ 7500 rpm,6-speed manual,Chain drive,2,"Rs. 2,99,000",2020,Adventure,Adventure touring,"Single-cylinder, liquid-cooled",Single
